Customer ID,Region,Country,State,Phone Number,Category,Product,Price,Units Sold,Profit,Mode of Payment,Revenue,Revenue Label,Profit %
CUST1000,West,India,Karnataka,9515759149,Clothing,Shirt,2439.81,5,3559.55,Credit Card,12199.05,High,29.18
CUST1001,West,India,Karnataka,9720381947,Furniture,Table,1621.43,13,4029.57,Net Banking,21078.59,High,19.12
CUST1002,South,India,West Bengal,9483465530,Clothing,T-shirt,1363.73,1,362.2,Net Banking,1363.73,Low,26.56
CUST1003,South,India,West Bengal,9350165589,Furniture,Sofa,1172.93,5,1542.65,Cash,5864.65,Medium,26.30
CUST1004,South,India,Karnataka,9621991901,Clothing,Jeans,2457.56,13,6972.71,Credit Card,31948.28,High,21.82
CUST1005,South,India,West Bengal,9734105442,Clothing,Dress,2661.44,7,2581.67,Net Banking,18630.08,High,13.86
CUST1006,East,India,Tamil Nadu,9117390999,Clothing,T-shirt,1400.82,6,994.44,UPI,8404.92,Medium,11.83
CUST1007,West,India,Karnataka,9513032833,Furniture,Chair,416.18,3,327.88,Net Banking,1248.54,Low,26.26
CUST1008,South,India,Maharashtra,95543976868,Furniture,Chair,1290.47,6,1045.43,Net Banking,7742.82,Medium,13.50
CUST1009,West,India,Gujarat,9866250123,Clothing,T-shirt,2519.94,15,11123.31,Cash,37799.1,High,29.43
CUST1010,South,India,Rajasthan,9884314044,Clothing,T-shirt,2814.97,1,716.15,Net Banking,2814.97,Low,25.44
CUST1011,East,India,West Bengal,9192128284,Clothing,Jeans,841.72,13,2130.18,UPI,10942.36,High,19.47
CUST1012,North,India,West Bengal,9731590483,Electronics,Tablet,1169.28,2,273.95,Credit Card,2338.56,Low,11.71
CUST1013,West,India,Karnataka,9245312903,Furniture,Bookshelf,2320.03,3,1260.55,Credit Card,6960.09,Medium,18.11
CUST1014,North,India,West Bengal,9587137236,Clothing,T-shirt,1780.66,11,2826.93,UPI,19587.26,High,14.43
CUST1015,North,India,Tamil Nadu,9161819590,Electronics,Monitor,2672,15,4719.91,Cash,40080,High,11.78
CUST1016,South,India,West Bengal,9551484924,Clothing,Jacket,824.49,9,1403.14,Debit Card,7420.41,Medium,18.91
CUST1017,East,India,Uttar Pradesh,91682255459,Electronics,Headphones,2896.96,7,3528.3,Net Banking,20278.72,High,17.40
CUST1018,South,India,Maharashtra,9277023818,Electronics,Monitor,1235.32,9,2542.07,Debit Card,11117.88,High,22.86
CUST1019,East,India,Gujarat,9670448490,Furniture,Table,2168.33,3,1394.93,Cash,6504.99,Medium,21.44
CUST1020,East,India,West Bengal,9123788207,Clothing,Jacket,2654.54,5,3308.52,Debit Card,13272.7,High,24.93
CUST1021,West,India,Tamil Nadu,99831923457,Electronics,Laptop,1313.77,7,2435.55,Cash,9196.39,Medium,26.48
CUST1022,East,India,Gujarat,9822358874,Electronics,Headphones,1602.24,13,3082.85,Debit Card,20829.12,High,14.80
CUST1023,West,India,Uttar Pradesh,9497595031,Furniture,Sofa,592.33,4,539.64,Net Banking,2369.32,Low,22.78
CUST1024,South,India,Rajasthan,9781615192,Electronics,Monitor,589.14,8,1252.56,Cash,4713.12,Low,26.58
CUST1025,North,India,Uttar Pradesh,9310431691,Furniture,Chair,2354.6,4,2575.43,Credit Card,9418.4,Medium,27.34
CUST1026,East,India,Uttar Pradesh,9375633062,Electronics,Smartphone,1920.55,6,2254.59,Credit Card,11523.3,High,19.57
CUST1027,East,India,West Bengal,9958467371,Clothing,Dress,1086.41,7,2066.76,Credit Card,7604.87,Medium,27.18
CUST1028,East,India,West Bengal,9485913642,Furniture,Bookshelf,1181.07,13,3821.07,Cash,15353.91,High,24.89
CUST1029,East,India,Uttar Pradesh,9942727052,Furniture,Cupboard,2521.2,8,6046.68,Credit Card,20169.6,High,29.98
CUST1030,South,India,Gujarat,9164209990,Clothing,Jeans,1741.71,15,4026.14,UPI,26125.65,High,15.41
CUST1031,South,India,Uttar Pradesh,9972130283,Furniture,Sofa,1691.18,9,3286.83,Net Banking,15220.62,High,21.59
CUST1032,South,India,Uttar Pradesh,9305312346,Clothing,Jacket,2430.49,1,538.34,Debit Card,2430.49,Low,22.15
CUST1033,West,India,Uttar Pradesh,9403336927,Clothing,Dress,1937.5,10,2548.08,UPI,19375,High,13.15
CUST1034,North,India,Karnataka,9209432112,Clothing,T-shirt,2848.61,15,6188.69,Debit Card,42729.15,High,14.48
CUST1035,North,India,Maharashtra,92886736565,Furniture,Cupboard,537.01,15,848.33,Debit Card,8055.15,Medium,10.53
CUST1036,East,India,Karnataka,9696039067,Furniture,Sofa,2052.79,1,296.79,Net Banking,2052.79,Low,14.46
